"subj_idx","group","rt_1_other","rt_1_self","rt_2_other","rt_2_self","rt_3_other","rt_3_self","rt_4_other","rt_4_self","acc_1_other","acc_1_self","acc_2_other","acc_2_self","acc_3_other","acc_3_self","acc_4_other","acc_4_self"
"22","motion",0.677333333333333,0.525,0.629333333333333,0.632684210526316,0.638846153846154,0.618842105263158,0.634777777777778,0.638615384615385,0.652173913043478,0.75,0.5,0.791666666666667,0.541666666666667,0.826086956521739,0.428571428571429,0.565217391304348
"23","motion",1.13607142857143,0.869466666666667,1.03836363636364,0.91725,1.076,0.90975,1.0121,0.917615384615385,0.583333333333333,0.625,0.458333333333333,0.666666666666667,0.5,0.666666666666667,0.416666666666667,0.541666666666667
"24","motion",0.946733333333333,1.01658333333333,1.04725,0.899142857142857,1.17842857142857,1.11953333333333,1.2419375,1.11218181818182,0.625,0.5,0.833333333333333,0.583333333333333,0.583333333333333,0.625,0.666666666666667,0.458333333333333
"25","motion",0.72055,0.551823529411765,0.569625,0.55175,0.755647058823529,0.664625,0.7755,0.659909090909091,0.833333333333333,0.772727272727273,0.666666666666667,1,0.708333333333333,0.666666666666667,0.434782608695652,0.478260869565217
"26","motion",0.780294117647059,0.7565,0.799555555555556,0.898,0.846571428571429,0.764466666666667,0.863266666666667,0.933230769230769,0.708333333333333,0.75,0.75,0.5,0.583333333333333,0.625,0.652173913043478,0.541666666666667
"27","motion",0.917076923076923,0.753055555555556,0.771076923076923,0.7436875,0.98025,0.737555555555556,0.920375,0.789,0.541666666666667,0.75,0.541666666666667,0.666666666666667,0.5,0.75,0.333333333333333,0.625
"28","motion",0.945166666666667,0.968333333333333,0.9175625,0.9155,0.89995,0.863181818181818,0.864733333333333,0.9925,0.75,0.625,0.666666666666667,0.666666666666667,0.833333333333333,0.458333333333333,0.625,0.333333333333333
"29","motion",0.913764705882353,0.720333333333333,0.956266666666667,0.8255,0.9118,0.771842105263158,0.8791875,0.77525,0.708333333333333,0.875,0.625,0.666666666666667,0.625,0.791666666666667,0.666666666666667,0.5
"30","motion",0.938352941176471,0.865952380952381,0.944294117647059,0.840473684210526,0.960933333333333,0.864476190476191,1.06533333333333,1.11017647058824,0.708333333333333,0.875,0.708333333333333,0.791666666666667,0.625,0.875,0.5,0.708333333333333
"31","motion",1.66994117647059,1.63563636363636,1.71729411764706,1.67305,1.68342857142857,1.6709,1.71718181818182,1.71853846153846,0.708333333333333,0.916666666666667,0.708333333333333,0.833333333333333,0.583333333333333,0.833333333333333,0.458333333333333,0.541666666666667
"32","motion",0.955636363636364,0.931888888888889,0.939894736842105,0.942166666666667,0.968933333333333,0.9021875,1.02492307692308,1.00658823529412,0.916666666666667,0.75,0.791666666666667,0.75,0.625,0.666666666666667,0.541666666666667,0.708333333333333
"33","motion",0.574727272727273,0.598461538461538,0.536380952380952,0.708076923076923,0.54085,0.69925,0.551928571428571,0.770166666666667,0.916666666666667,0.541666666666667,0.875,0.541666666666667,0.833333333333333,0.521739130434783,0.583333333333333,0.5
