"subj_idx","acc_diff_so","rt_diff_os","difficulty","difficulty_code"
"90",-0.130762411347518,-0.274491391678622,2,"easy"
"90",-0.479166666666667,-0.254891774891775,3,"difficult"
"90",-0.51063829787234,-0.130166666666667,4,"very difficult"
"91",0.0597826086956522,0.10333942414175,1,"very easy"
"91",0.111008325624422,0.170662698412698,2,"easy"
"91",0.0909090909090909,0.189576388888889,3,"difficult"
"91",0.0878048780487805,0.0345396825396826,4,"very difficult"
"92",-0.166666666666667,-0.180376977632297,1,"very easy"
"92",0.0416666666666666,-0.181677519379845,2,"easy"
"92",-0.245471014492754,-0.138424862313139,3,"difficult"
"92",-0.13209219858156,-0.0537300509337861,4,"very difficult"
"93",0.0208333333333334,-0.0837619680851065,1,"very easy"
"93",-0.0833333333333333,-0.139030183077684,2,"easy"
"93",-0.104166666666667,-0.032280905752754,3,"difficult"
"93",-0.145833333333333,0.139270396270396,4,"very difficult"
"94",0.0208333333333333,0.0292493061979651,1,"very easy"
"94",0.1875,0.0999138719512196,2,"easy"
"94",0.375,0.0251886363636362,3,"difficult"
"94",0.354166666666667,0.0224722222222222,4,"very difficult"
"95",0.118055555555556,0.185795348837209,1,"very easy"
"95",0.0259019426456983,0.159447368421053,2,"easy"
"95",0.434782608695652,0.112971383147854,3,"difficult"
"95",0.265248226950355,0.12180303030303,4,"very difficult"
"96",0.0208333333333333,0.0304223044397463,1,"very easy"
"96",-0.0208333333333334,0.00122807017543858,2,"easy"
"96",0.0833333333333334,-0.00891372549019631,3,"difficult"
"96",0.0208333333333334,-0.0575301075268817,4,"very difficult"
"97",-0.104166666666667,0.0233794326241137,1,"very easy"
"97",-0.0416666666666667,0.00748913043478261,2,"easy"
"97",0.115942028985507,-0.0990520833333333,3,"difficult"
"97",-0.0638297872340426,0.0567798861480076,4,"very difficult"
"98",-0.0416666666666666,-0.159829710144928,1,"very easy"
"98",-0.107712765957447,-0.320786324786325,2,"easy"
"98",-0.354166666666667,-0.120851478494624,3,"difficult"
"98",-0.3125,-0.0653400000000002,4,"very difficult"
"99",-0.0208333333333334,-0.0637106280193236,1,"very easy"
"99",0.0416666666666667,-0.0116273397617697,2,"easy"
"99",-0.125,-0.0754087301587301,3,"difficult"
"99",-0.00842198581560283,-0.247391625615764,4,"very difficult"
"100",0.0208333333333333,-0.0560729386892176,1,"very easy"
"100",-0.0625,0.178406593406593,2,"easy"
"100",-0.0833333333333333,-0.020727188940092,3,"difficult"
"100",-0.0416666666666666,0.063846753246753,4,"very difficult"
"101",-0.104166666666667,-0.173175278622087,1,"very easy"
"101",-0.166666666666667,-0.0835122749590833,2,"easy"
"101",-0.361702127659574,-0.228785353535353,3,"difficult"
"101",-0.479166666666667,-0.0986153846153845,4,"very difficult"
"102",-0.0177304964539007,0.113375,1,"very easy"
"102",0.186170212765957,-0.0946868686868687,2,"easy"
"102",0.0997340425531915,0.102958230958231,3,"difficult"
"102",0.125,-0.0589447115384614,4,"very difficult"
"103",-0.0425531914893618,0.189759689922481,1,"very easy"
"103",0.276595744680851,0.0838014705882353,2,"easy"
"103",0.247282608695652,0.224,3,"difficult"
"103",0.344858156028369,0.0729523809523809,4,"very difficult"
"104",0.0208333333333333,0.0115829268292684,1,"very easy"
"104",-0.145833333333333,-0.250827519379845,2,"easy"
"104",-0.267287234042553,-0.00219658119658117,3,"difficult"
"104",-0.4375,-0.0655473684210526,4,"very difficult"
"105",0.104166666666667,0.0543925353925352,1,"very easy"
"105",0.125,0.0552746710526317,2,"easy"
"105",0.281028368794326,-0.0724035087719299,3,"difficult"
"105",0.229166666666667,-0.0927698209718668,4,"very difficult"
"106",0,-0.00102127659574469,1,"very easy"
"106",0.0416666666666666,0.0842261904761903,2,"easy"
"106",0.0543478260869565,0.148063813813814,3,"difficult"
"106",0.0638297872340425,0.0660414746543778,4,"very difficult"
"107",0.0452898550724639,0.0339016563146997,1,"very easy"
"107",-0.035230352303523,-0.0458107142857145,2,"easy"
"107",-0.238095238095238,-0.0292443181818181,3,"difficult"
"107",0.193581780538302,-0.062363636363636,4,"very difficult"
"108",0.0416666666666666,-0.0673408983451536,1,"very easy"
"108",-0.0144927536231884,-0.0899474358974357,2,"easy"
"108",-0.104166666666667,0.0149571428571431,3,"difficult"
"108",-0.208333333333333,-0.185851851851852,4,"very difficult"
"109",0.0403368794326241,0.0648245243128964,1,"very easy"
