"subj_idx","acc","rt","association","difficulty","difficulty_code","group"
"121",0.875,1.19085714285714,"other",1,"very easy","color"
"121",0.958333333333333,1.19913043478261,"self",1,"very easy","color"
"121",0.695652173913043,1.3090625,"other",2,"easy","color"
"121",0.869565217391304,1.1022,"self",2,"easy","color"
"121",0.5,1.348,"other",3,"difficult","color"
"121",0.869565217391304,1.05755,"self",3,"difficult","color"
"121",0.5,1.46983333333333,"other",4,"very difficult","color"
"121",0.875,1.02847619047619,"self",4,"very difficult","color"
"122",0.875,0.651428571428571,"other",1,"very easy","color"
"122",0.739130434782609,0.773294117647059,"self",1,"very easy","color"
"122",0.791666666666667,0.639315789473684,"other",2,"easy","color"
"122",0.666666666666667,0.79725,"self",2,"easy","color"
"122",0.791666666666667,0.660052631578947,"other",3,"difficult","color"
"122",0.666666666666667,0.822375,"self",3,"difficult","color"
"122",0.75,0.655888888888889,"other",4,"very difficult","color"
"122",0.5,0.832583333333333,"self",4,"very difficult","color"
"123",0.958333333333333,0.709130434782609,"other",1,"very easy","color"
"123",0.91304347826087,0.795380952380952,"self",1,"very easy","color"
"123",0.625,0.7698,"other",2,"easy","color"
"123",0.875,0.688714285714286,"self",2,"easy","color"
"123",0.333333333333333,0.706875,"other",3,"difficult","color"
"123",0.666666666666667,0.6435,"self",3,"difficult","color"
"123",0.583333333333333,0.937428571428571,"other",4,"very difficult","color"
"123",0.625,0.820933333333333,"self",4,"very difficult","color"
"124",0.875,0.747619047619048,"other",1,"very easy","color"
"124",0.916666666666667,0.753772727272727,"self",1,"very easy","color"
"124",0.916666666666667,0.830954545454546,"other",2,"easy","color"
"124",0.75,0.733388888888889,"self",2,"easy","color"
"124",0.833333333333333,0.88525,"other",3,"difficult","color"
"124",0.458333333333333,0.783909090909091,"self",3,"difficult","color"
"124",0.708333333333333,0.851647058823529,"other",4,"very difficult","color"
"124",0.458333333333333,0.862181818181818,"self",4,"very difficult","color"
"125",0.875,0.756857142857143,"other",1,"very easy","color"
"125",0.916666666666667,0.762454545454545,"self",1,"very easy","color"
"125",0.75,0.807,"other",2,"easy","color"
"125",0.833333333333333,0.75235,"self",2,"easy","color"
"125",0.541666666666667,0.915538461538462,"other",3,"difficult","color"
"125",0.708333333333333,0.778235294117647,"self",3,"difficult","color"
"125",0.625,0.821866666666667,"other",4,"very difficult","color"
"125",0.625,0.805266666666667,"self",4,"very difficult","color"
"126",0.958333333333333,0.700391304347826,"other",1,"very easy","color"
"126",0.958333333333333,0.728739130434783,"self",1,"very easy","color"
"126",1,0.81275,"other",2,"easy","color"
"126",0.958333333333333,0.807608695652174,"self",2,"easy","color"
"126",0.791666666666667,0.913421052631579,"other",3,"difficult","color"
"126",0.833333333333333,0.82105,"self",3,"difficult","color"
"126",0.75,0.854666666666667,"other",4,"very difficult","color"
"126",0.833333333333333,0.91365,"self",4,"very difficult","color"
"127",0.958333333333333,0.698260869565217,"other",1,"very easy","color"
"127",0.916666666666667,0.789636363636364,"self",1,"very easy","color"
"127",0.791666666666667,0.676263157894737,"other",2,"easy","color"
"127",0.875,0.777,"self",2,"easy","color"
"127",0.916666666666667,0.6895,"other",3,"difficult","color"
"127",0.666666666666667,0.824375,"self",3,"difficult","color"
"127",0.739130434782609,0.815117647058824,"other",4,"very difficult","color"
"127",0.5,0.873916666666667,"self",4,"very difficult","color"
"128",0.958333333333333,0.706260869565217,"other",1,"very easy","color"
"128",0.875,0.710952380952381,"self",1,"very easy","color"
"128",0.958333333333333,0.73895652173913,"other",2,"easy","color"
