"subj_idx","acc_diff_so","rt_diff_os","difficulty","difficulty_code"
"99",0.0535714285714286,0.151979405034325,2,"easy"
"99",0.367424242424242,0.133284280936455,3,"difficult"
"99",0.291666666666667,0.108923529411765,4,"very difficult"
"100",-0.0833333333333334,-0.0010931677018633,1,"very easy"
"100",-0.125,0.0335065789473685,2,"easy"
"100",0,0.0473888888888889,3,"difficult"
"100",0.0416666666666667,-0.00331985294117643,4,"very difficult"
"101",-0.130434782608696,-0.142466666666667,1,"very easy"
"101",-0.0833333333333334,-0.148314699792961,2,"easy"
"101",-0.5,-0.117254545454546,3,"difficult"
"101",-0.458333333333333,-0.0747236842105263,4,"very difficult"
"102",-0.0833333333333334,0.0250683229813665,1,"very easy"
"102",0.0833333333333333,0.122,2,"easy"
"102",-0.25,0.131619318181818,3,"difficult"
"102",-0.0416666666666666,0.0875875000000002,4,"very difficult"
"103",0.25,0.230333333333333,1,"very easy"
"103",0.166666666666667,0.0407597254004577,2,"easy"
"103",0.0833333333333333,0.136232198142415,3,"difficult"
"103",0,0.170285714285714,4,"very difficult"
"104",-0.0833333333333333,-0.0831090909090909,1,"very easy"
"104",-0.375,-0.0427999999999999,2,"easy"
"104",-0.416666666666667,0.0571601731601732,3,"difficult"
"104",-0.375,-0.0495952380952381,4,"very difficult"
"105",0,0.156782608695652,1,"very easy"
"105",0,0.20525,2,"easy"
"105",0.333333333333333,-0.114833333333333,3,"difficult"
"105",0.25,-0.12380971659919,4,"very difficult"
"106",-0.0416666666666666,0.068393115942029,1,"very easy"
"106",-0.0416666666666666,0.0356213768115941,2,"easy"
"106",-0.125,-0.170785714285714,3,"difficult"
"106",0.125,-0.0885588235294117,4,"very difficult"
"107",-0.0833333333333334,-0.0088221343873518,1,"very easy"
"107",-0.125,-0.0638301435406701,2,"easy"
"107",0.0416666666666666,-0.229766081871345,3,"difficult"
"107",0.0543478260869565,0.0291666666666666,4,"very difficult"
"108",-0.25,-0.146478260869565,1,"very easy"
"108",-0.25,-0.132,2,"easy"
"108",-0.333333333333333,-0.168064935064935,3,"difficult"
"108",-0.208333333333333,-0.127230769230769,4,"very difficult"
"109",-0.166666666666667,-0.0297583333333333,1,"very easy"
"109",-0.125,0.0181172248803828,2,"easy"
"109",-0.25,-0.171833333333333,3,"difficult"
